company,country,img_url,name,price,ratings,rum_url,score,type,br_score
English Harbour,Antigua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/391/English_Harbour_Extra_Old_rum.png,English Harbour Extra Old,0,0,https://www.rumratings.com/brands/391-english-harbour-extra-old,0,Aged,4.8775
English Harbour,Antigua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/392/English_Harbour_Gold_rum.png,English Harbour Gold,0,0,https://www.rumratings.com/brands/392-english-harbour-gold,0,Gold,4.8775
English Spirit,UK,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,English Spirit Spiced,0,1,https://www.rumratings.com/brands/4053-english-spirit-spiced,9,Spiced,5.220208694
Enmore,UK,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/393/Enmore__1988_Guyana_rum.png,Enmore 1988 Guyana,255.17,1,https://www.rumratings.com/brands/393-enmore-1988-guyana,9,Aged,5.220208694
Enmore,UK,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1471/enmore_1995_guyana_rum_orginal_200px.png,Enmore 1995 Guyana,0,6,https://www.rumratings.com/brands/1471-enmore-1995-guyana,8.3,Aged,6.083372278
Enmore,UK,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Enmore Demerara Rum Silver Seal 2002,0,1,https://www.rumratings.com/brands/3807-enmore-demerara-rum-silver-seal-2002,8,Aged,5.137077416
E.S.A. Field,Barbados,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,E.S.A. Field White,21.43,0,https://www.rumratings.com/brands/5085-e-s-a-field-white,0,Light,4.8775
Espinillar,Uruguay,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1454/Espinillar_Anejo_rum.png,Espinillar Anejo,0,1,https://www.rumratings.com/brands/1454-espinillar-anejo,8,Gold,5.137077416
Espinillar,Uruguay,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1453/Espinillar_Extra_Anejo_10-Year_rum.png,Espinillar Extra Anejo 10-Year,0,0,https://www.rumratings.com/brands/1453-espinillar-extra-anejo-10-year,0,Aged,4.8775
Espinillar,Uruguay,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1452/Espinillar_Gran_Reserva_20-Year_rum.png,Espinillar Gran Reserva 20-Year,0,1,https://www.rumratings.com/brands/1452-espinillar-gran-reserva-20-year,8,Aged,5.137077416
Espinillar,Uruguay,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1455/Espinillar_Light_rum.png,Espinillar Light,0,0,https://www.rumratings.com/brands/1455-espinillar-light,0,Light,4.8775
Estate Versailles 2003 ,Guyana,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Estate Versailles 2003  Single Cask,0,1,https://www.rumratings.com/brands/3886-estate-versailles-2003-single-cask,7,Aged,5.053946138
Facundo ,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1226/Facundo_Eximo_rum.png,Facundo  Eximo,0,7,https://www.rumratings.com/brands/1226-facundo-eximo,8.3,Aged,6.206319043
Facundo ,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1227/Facundo_Exquisito_rum.png,Facundo  Exquisito,0,6,https://www.rumratings.com/brands/1227-facundo-exquisito,9,Aged,6.330007952
Facundo ,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1225/Facundo_Neo_rum.png,Facundo  Neo,0,3,https://www.rumratings.com/brands/1225-facundo-neo,6,Light,5.11753564
Facundo ,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1228/Facundo_Paraiso_rum.png,Facundo  Paraiso,0,6,https://www.rumratings.com/brands/1228-facundo-paraiso,8.8,Aged,6.259540617
Fair,Belize,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,"Fair 11-Year small batch 50,7°",0,1,https://www.rumratings.com/brands/5134-fair-11-year-small-batch-50-7,9,Aged,5.220208694
Fair,Belize,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,"Fair 9-Year Nectar 65,2%",0,1,https://www.rumratings.com/brands/5139-fair-9-year-nectar-65-2,9,Aged,5.220208694
Fair,Belize,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1634/fair_gold_rum_200px_b.png,Fair Gold,44.88,11,https://www.rumratings.com/brands/1634-fair-gold,7.6,Gold,6.236947702
Farthofer,Austria,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Farthofer O,0,0,https://www.rumratings.com/brands/3481-farthofer-o,0,Gold,4.8775
Favell?s,Guyana,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1152/Favell_s_London_Dock_Demerara_rum.png,Favell?s London Dock Demerara,0,2,https://www.rumratings.com/brands/1152-favell-s-london-dock-demerara,5.5,Gold,4.973054845
Fazenda,Brazil,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1059/Fazenda_Mae_de_Ouro_Cachaca.png,Fazenda Mae de Ouro Cachaca,0,3,https://www.rumratings.com/brands/1059-fazenda-mae-de-ouro-cachaca,5.7,Cachaca,5.053383576
Fazenda,Brazil,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Fazenda Soledade CanaRio Cachaca,0,1,https://www.rumratings.com/brands/3664-fazenda-soledade-canario-cachaca,5,Cachaca,4.887683582
Fine Barbados,UK,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/394/Fine_Barbados_2000_rum.png,Fine Barbados 2000,0,0,https://www.rumratings.com/brands/394-fine-barbados-2000,0,Gold,4.8775
Fine Cuban,UK,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/395/Fine_Cuban_2003_rum.png,Fine Cuban 2003,0,0,https://www.rumratings.com/brands/395-fine-cuban-2003,0,Aged,4.8775
Fine Cuban,UK,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Fine Cuban Black Tears,0,1,https://www.rumratings.com/brands/5156-fine-cuban-black-tears,6,Spiced,4.97081486
Flag Hill,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2166/Flag-Hill_Spiced_rum_200px.png,Flag Hill Spiced,0,0,https://www.rumratings.com/brands/2166-flag-hill-spiced,0,Spiced,4.8775
Flag Hill,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2165/Flag-Hill_White_rum_200px.png,Flag Hill White,0,0,https://www.rumratings.com/brands/2165-flag-hill-white,0,Light,4.8775
Flamboyant,Mauritius,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/396/Flamboyant_Vieux_rum.png,Flamboyant Vieux,0,2,https://www.rumratings.com/brands/396-flamboyant-vieux,5,Gold,4.896303965
Fleischmann's,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/397/Fleischmann_s_Island_rum.png,Fleischmann's Island,0,0,https://www.rumratings.com/brands/397-fleischmann-s-island,0,Light,4.8775
FlipFlop,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1855/filpflop_silver_rum_200px.png,FlipFlop Silver,0,1,https://www.rumratings.com/brands/1855-flipflop-silver,7,Light,5.053946138
FlipFlop,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1856/filpflop_spiced_rum_200px.png,FlipFlop Spiced,0,0,https://www.rumratings.com/brands/1856-flipflop-spiced,0,Spiced,4.8775
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/402/Flor_de_Cana_Centenario_12_rum.png,Flor de Cana 12-Year,31.39,172,https://www.rumratings.com/brands/402-flor-de-cana-12-year,7.1,Aged,6.966074225
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/398/Flor-de-Cana_18-Year_rum_200px.png,Flor de Cana 18-Year,53.37,186,https://www.rumratings.com/brands/398-flor-de-cana-18-year,7.5,Aged,7.353199452
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1339/flor_de_ca_a_25-year_rum_orginal_200px.png,Flor de Cana 25-Year,124.67,44,https://www.rumratings.com/brands/1339-flor-de-cana-25-year,8.8,Aged,8.013836791
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/399/Flor_de_Cana_Anejo_Classico_rum.png,Flor de Cana Anejo Clasico 5-Year,12.02,20,https://www.rumratings.com/brands/399-flor-de-cana-anejo-clasico-5-year,5.7,Light,5.407646368
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1978/Flor_de_Cana_Anejo_Oro_4-Year_rum_200px.png,Flor de Cana Anejo Oro 4-Year,20.14,13,https://www.rumratings.com/brands/1978-flor-de-cana-anejo-oro-4-year,7.8,Aged,6.458599358
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/400/Flor_de_Cana_Black_Label_5_rum.png,Flor de Cana Black label 5,18.52,23,https://www.rumratings.com/brands/400-flor-de-cana-black-label-5,6.1,Gold,5.703776479
Flor de Cana,Nicaragua,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/404/Flor_de_Cana_Centenario_21_rum.png,Flor de Cana Centenario 21,82.95,17,https://www.rumratings.com/brands/404-flor-de-cana-centenario-21,7.4,Aged,6.407424186
