,names,release,runtime,scores,user_score
2441,Vicky Cristina Barcelona,15-Aug-08,96,70,7
2442,Public Enemies,1-Jul-09,140,70,7.2
2443,Tsotsi,24-Feb-06,94,70,7.7
2444,Countdown to Zero,23-Jul-10,91,70,6.6
2445,Lost Embrace,28-Jan-05,100,70,0
2446,Raiders!: The Story of the Greatest Fan Film Ever Made,17-Jun-16,106,70,6.2
2447,The Nice Guys,20-May-16,116,70,7.6
2448,The Curious Case of Benjamin Button,25-Dec-08,166,70,7.3
2449,Owning Mahowny,2-May-03,104,70,7.4
2450,Devils on the Doorstep,18-Dec-02,139,70,8.3
2451,Girlfight,29-Sep-00,110,70,8
2452,Love & Basketball,21-Apr-00,124,70,8.8
2453,Louder Than Bombs,8-Apr-16,109,70,6.7
2454,More Than Honey,12-Jun-13,95,70,7.7
2455,Out of the Blue,19-Oct-07,103,70,7.5
2456,Unstrung Heroes,15-Sep-95,93,70,0
2457,Blank City,6-Apr-11,94,70,0
2458,Bad Lieutenant,20-Nov-92,96,70,7.5
2459,Last Cab to Darwin,10-Jun-16,123,70,6.8
2460,Electric Shadows,16-Dec-05,93,70,0
2461,Big Fan,28-Aug-09,88,70,7.1
2462,House of Sand,11-Aug-06,115,70,8.5
2463,Mia Madre,26-Aug-16,106,70,5.5
2464,Test,6-Jun-14,89,70,8
2465,The Evil Dead,24-Apr-83,85,70,8.8
2466,Grease,16-Jun-78,110,70,8.8
2467,"Turn Me On, Dammit!",30-Mar-12,76,70,8.8
2468,Hunter Gatherer,16-Nov-16,90,70,0
2469,Prisoner of Paradise,12-Dec-03,96,70,0
2470,Millennium Actress,12-Sep-03,87,70,7.8
2471,Thirteen,20-Aug-03,100,70,8.8
2472,Freaky Friday,6-Aug-03,97,70,8.4
2473,Personal Velocity: Three Portraits,22-Nov-02,86,70,7.3
2474,The Emperor's New Groove,15-Dec-00,78,70,8.8
2475,Better Living Through Circuitry,26-May-00,85,70,0
2476,Kadosh,12-May-00,110,70,0
2477,10 Things I Hate About You,31-Mar-99,97,70,7
2478,Sleep Tight,26-Oct-12,102,70,7.4
2479,Merry Christmas,3-Mar-06,116,70,8.1
2480,Waging a Living,22-Jun-05,85,70,0
2481,Heartbeats,25-Feb-11,0,70,7.4
2482,Sun Don't Shine,26-Apr-13,0,70,0
2483,Gunner Palace,4-Mar-05,85,70,8.3
2484,The Skin I Live In,14-Oct-11,117,70,8
2485,Curse of the Golden Flower,21-Dec-06,114,70,7.4
2486,Shall We Kiss?,27-Mar-09,96,70,5
2487,Rock the Bells,11-Apr-07,103,70,0
2488,Always Shine,25-Nov-16,85,70,0
2489,"Jia Zhangke, A guy from Fenyang",27-May-16,105,70,0
2490,Sunshine Superman,22-May-15,100,70,8.1
2491,How to Eat Your Watermelon in White Company (and Enjoy It),20-Jan-06,85,70,0
2492,Love Songs,21-Mar-08,100,70,8.7
2493,The Science of Sleep,22-Sep-06,105,70,7.8
2494,Elephant,24-Oct-03,81,70,6.8
2495,Elling,29-May-02,89,70,8
2496,Primary Colors,20-Mar-98,143,70,8.6
2497,Ed Wood,28-Sep-94,127,70,6.5
2498,The Syrian Bride,16-Nov-05,97,70,8.1
2499,Meet the Patels,11-Sep-15,88,70,8
2500,A Brave Heart: The Lizzie Velasquez Story,25-Sep-15,78,70,6.3
2501,Strange Culture,5-Oct-07,75,70,0
2502,Twist of Faith,1-Jul-05,87,70,0
2503,On the Job,27-Sep-13,121,70,6.8
2504,Captain America: The Winter Soldier,4-Apr-14,136,70,8.5
2505,Informant,13-Sep-13,81,70,0
2506,The Hoax,6-Apr-07,116,70,8.7
2507,Who Killed the Electric Car?,28-Jun-06,92,70,8.6
2508,Outsourced,28-Sep-07,0,70,7.1
2509,Teddy Bear,24-Aug-12,92,70,8
2510,Fados,6-Mar-09,90,70,8.8
2511,Journey from the Fall,23-Mar-07,135,70,8
2512,Going Upriver: The Long War of John Kerry,1-Oct-04,87,70,8.2
2513,Our Father,20-Feb-04,84,70,0
2514,Pellet,13-Dec-02,88,70,8
2515,Tosca,12-Jul-02,126,70,0
2516,Pauline and Paulette,15-Mar-02,78,70,7.3
2517,The Opposite of Sex,22-May-98,105,70,8.2
2518,I Am Divine,25-Oct-13,90,70,7.4
2519,Wuthering Heights,5-Oct-12,129,70,7.8
2520,Only Human,16-Jun-06,85,70,7.5
2521,21 Grams,21-Nov-03,124,70,8
2522,Merchants of Doubt,6-Mar-15,96,70,8.2
2523,The Lady in the Van,4-Dec-15,104,70,6.8
2524,The Letter: An American Town and the 'Somali Invasion',9-Feb-05,76,70,8.4
2525,Queen to Play,1-Apr-11,97,70,6.3
2526,Eyes Wide Open,5-Feb-10,90,70,8.5
2527,Caramel,1-Feb-08,95,70,8
2528,Save the Green Planet!,20-Apr-05,118,70,7.2
2529,Rampart,10-Feb-12,2,70,5.9
2530,The Painting (Le Tableau),10-May-13,76,70,6.9
2531,Pulse,12-Aug-05,118,70,7.1
2532,Pure,17-Jun-05,96,70,7.8
2533,Sacco and Vanzetti,30-Mar-07,80,70,8
2534,Lethal Weapon 2,7-Jul-89,114,70,8.7
2535,Ginger Snaps,26-Oct-01,108,70,8.8
2536,The Spanish Prisoner,3-Apr-98,110,70,7.3
2537,Circle of Friends,15-Mar-95,103,70,0
2538,Die Hard,15-Jul-88,131,70,5.4
2539,Life of Riley,24-Oct-14,108,70,0
2540,Donkey Skin (re-release),24-Dec-04,90,70,8.8
2541,A Town Called Panic,16-Dec-09,75,70,8.4
2542,!Women Art Revolution,1-Jun-11,83,70,0
2543,Contagion,9-Sep-11,105,70,6.9
2544,Almost There,4-Dec-15,93,70,0
2545,Lenny Cooke,6-Dec-13,88,70,0
2546,Fido,15-Jun-07,93,70,8.8
2547,Pieces of April,17-Oct-03,80,70,8.8
2548,Adanggaman,11-Jul-01,90,70,0
2549,Mein liebster Feind - Klaus Kinski,5-Nov-99,95,70,6.8
2550,Your Friends & Neighbors,21-Aug-98,100,70,5.7
2551,Faults,6-Mar-15,89,70,7.5
2552,Bad Santa,26-Nov-03,91,70,8.7
2553,Waking Sleeping Beauty,26-Mar-10,86,70,7.5
2554,Killing Them Safely,27-Nov-15,100,70,8
2555,It Might Get Loud,14-Aug-09,98,70,8.3
2556,District B13,2-Jun-06,84,70,8.7
2557,Cronos,30-Mar-94,94,70,8.8
2558,Warlords,2-Apr-10,126,70,7.5
2559,I.O.U.S.A.,22-Aug-08,85,70,7
2560,Fearless,22-Sep-06,103,70,8.6
2561,Cedar Rapids,11-Feb-11,86,70,7
2562,At the Edge of the World,28-Aug-09,90,70,0
2563,Who Gets to Call It Art?,1-Feb-06,78,70,0
2564,Happy Christmas,25-Jul-14,88,70,6.1
2565,Évocateur: The Morton Downey Jr. Movie,7-Jun-13,0,70,0
2566,Strayed,14-May-04,95,70,7.4
2567,Chalk,11-May-07,85,70,0
2568,Lars and the Real Girl,12-Oct-07,106,70,8.4
2569,Boy,2-Mar-12,87,70,7.7
2570,Clerks,19-Oct-94,92,70,8.8
2571,Tears of the Black Tiger,12-Jan-07,110,69,7.4
2572,Thumbsucker,16-Sep-05,96,69,7.2
2573,The Cruise,23-Oct-98,76,69,0
2574,Kicks,9-Sep-16,80,69,0
2575,Inglourious Basterds,21-Aug-09,153,69,7.7
2576,The Mermaid,19-Feb-16,94,69,7.5
2577,Never Let Me Go,15-Sep-10,103,69,8
2578,A Man Called Ove,30-Sep-16,116,69,7.9
2579,Batman,23-Jun-89,126,69,8.3
2580,In Another Country,9-Nov-12,89,69,7
2581,Babel,27-Oct-06,143,69,6.6
2582,Man from Reno,27-Mar-15,111,69,6.6
2583,Unstoppable,12-Nov-10,98,69,6.9
2584,The Bad Lieutenant: Port of Call - New Orleans,20-Nov-09,122,69,6.8
2585,Brave,22-Jun-12,93,69,7.3
2586,Viva,29-Apr-16,100,69,7.6
2587,Crash,6-May-05,112,69,8.8
2588,Slither,31-Mar-06,95,69,4.1
2589,Girlhood,29-Oct-03,82,69,8.2
2590,Undercover Brother,31-May-02,86,69,8.2
2591,Amélie,2-Nov-01,122,69,7.4
2592,Enter the Void,24-Sep-10,161,69,6.9
2593,Dung che sai duk,10-Oct-08,100,69,6.8
2594,Revolutionary Road,26-Dec-08,119,69,7.3
2595,Live Free or Die Hard,27-Jun-07,128,69,6.9
2596,Up for Grabs,6-May-05,90,69,0
2597,The Beautiful City,15-Mar-06,101,69,8.4
2598,The Dead Zone,21-Oct-83,103,69,8.8
2599,Palo Alto,9-May-14,100,69,6.6
2600,"Yoo-Hoo, Mrs. Goldberg",10-Jul-09,92,69,7.4
2601,Training Day,5-Oct-01,122,69,8.9
2602,The September Issue,28-Aug-09,90,69,6.8
2603,Fresh Dressed,26-Jun-15,90,69,0
2604,Amour Fou,18-Mar-15,96,69,7.3
2605,Beeswax,7-Aug-09,100,69,6.6
2606,Cinderella Man,3-Jun-05,144,69,8.5
2607,The Last Lions,18-Feb-11,88,69,8.3
2608,I Went Down,24-Jun-98,107,69,0
2609,Happy Together,30-Oct-97,96,69,8.3
2610,The Cooler,26-Nov-03,101,69,6.7
2611,Fatima,26-Aug-16,79,69,0
2612,Hannah Arendt,29-May-13,113,69,7.3
2613,Head Games,21-Sep-12,0,69,0
2614,Frontrunners,15-Oct-08,83,69,0
2615,Giorni e nuvole,11-Jul-08,118,69,0
2616,Be Here to Love Me: A Film About Townes Van Zandt,2-Dec-05,99,69,7.8
2617,Warm Water Under a Red Bridge,3-May-02,119,69,5.8
2618,River of Grass,4-Aug-95,76,69,0
2619,Evil Dead II,13-Mar-87,84,69,8.5
2620,Duplicity,20-Mar-09,125,69,5.1
2621,The Painted Veil,20-Dec-06,125,69,8.5
2622,Spring,20-Mar-15,109,69,7.2
2623,Funny Games,11-Mar-98,108,69,5
2624,Digging for Fire,21-Aug-15,85,69,4.7
2625,Peepli Live,13-Aug-10,0,69,6.8
2626,Nocturnal Animals,18-Nov-16,117,69,8.1
2627,Black Gold,6-Oct-06,78,69,7.3
2628,Cold Souls,7-Aug-09,101,69,5.8
2629,Butterfly Tongues,16-Jun-00,96,69,7.2
2630,The Sleeping Beauty,8-Jul-11,82,69,0
2631,Just Another Love Story,9-Jan-09,100,69,7
2632,Life During Wartime,23-Jul-10,98,69,5.7
2633,The Unknown Known,2-Apr-14,103,69,6.7
2634,The Ignorant Fairies,20-Sep-02,106,69,8.5
2635,Monster's Ball,26-Dec-01,111,69,4.2
2636,Small Time Crooks,19-May-00,94,69,6.6
2637,Ride with the Devil,24-Nov-99,138,69,7.1
2638,There's Something About Mary,15-Jul-98,119,69,8.9
2639,Operation Avalanche,16-Sep-16,94,69,0
2640,Diana Vreeland: The Eye Has to Travel,21-Sep-12,86,69,7.2
2641,Bill W.,18-May-12,104,69,0
2642,What Our Fathers Did: A Nazi Legacy,6-Nov-15,96,69,0
2643,White Reindeer,6-Dec-13,82,69,4.8
2644,Big Star: Nothing Can Hurt Me,3-Jul-13,113,69,7.2
2645,Alps,13-Jul-12,93,69,6.3
2646,The Avengers,4-May-12,143,69,8
2647,Venus in Fur,20-Jun-14,96,69,7.1
2648,The Matchmaker,17-Aug-12,112,69,0
2649,Barton Fink,21-Aug-91,116,69,8.6
2650,Antarctica: A Year on Ice,28-Nov-14,91,69,8
2651,The New World,25-Dec-05,135,69,6.8
2652,Imelda,9-Jun-04,103,69,8
2653,Nurse Betty,8-Sep-00,110,69,1
2654,Slums of Beverly Hills,14-Aug-98,91,69,8.7
2655,The Big Lebowski,6-Mar-98,117,69,8.8
2656,American Hardcore,22-Sep-06,100,69,8
2657,This Divided State,19-Aug-05,88,69,8.3
2658,Hide Your Smiling Faces,28-Mar-14,81,69,7.3
2659,Zero Motivation,3-Dec-14,97,69,8.2
2660,Joshua,6-Jul-07,106,69,6.1
2661,Post Tenebras Lux,1-May-13,115,69,6.8
2662,You Ain't Seen Nothin' Yet,7-Jun-13,115,69,0
2663,Forgiving Dr. Mengele,24-Feb-06,82,69,6.8
2664,Horns and Halos,28-Feb-03,90,69,6.5
2665,The Dangerous Lives of Altar Boys,14-Jun-02,104,69,8.5
2666,The Last September,21-Apr-00,103,69,0
2667,The Girl Next Door,14-Apr-00,82,69,5.8
2668,Chronicle,3-Feb-12,84,69,7.3
2669,Arthur Christmas,23-Nov-11,2,69,7.4
2670,Chronic,23-Sep-16,93,69,0
2671,Into the Woods,25-Dec-14,125,69,6
2672,The Other Dream Team,28-Sep-12,89,69,7.9
2673,Beautiful Darling,22-Apr-11,85,69,0
2674,The Adventures of Baron Munchausen,10-Mar-89,126,69,8.4
2675,Blue Jay,7-Oct-16,80,69,0
2676,I Used to Be Darker,4-Oct-13,90,69,6.3
2677,Charlie Wilson's War,21-Dec-07,102,69,6.9
2678,Predestination,9-Jan-15,97,69,8
2679,Kings of Pastry,15-Sep-10,87,69,0
2680,Fan-Fan the Tulip,21-Jul-06,102,69,0
2681,Everyday Sunshine: The Story of Fishbone,7-Oct-11,107,69,7.2
2682,The Underneath,28-Apr-95,99,69,8.7
2683,Absolute Wilson,27-Oct-06,105,69,0
2684,The Last Winter,21-Sep-07,101,69,5.1
2685,Chicken with Plums,17-Aug-12,93,69,7
2686,People Say I'm Crazy,30-Apr-04,84,69,6.8
2687,Le bossu,18-Oct-02,128,69,0
2688,Sunshine State,21-Jun-02,141,69,6
2689,Go Tigers!,21-Sep-01,103,69,0
2690,"O Brother, Where Art Thou?",22-Dec-00,106,69,8.1
2691,The Eyes of Tammy Faye,21-Jul-00,79,69,0
2692,Solitary Man,21-May-10,90,69,5.3
2693,Bastards,23-Oct-13,100,69,6.9
2694,The Bank Job,7-Mar-08,111,69,7.7
2695,Nathalie...,14-Apr-06,100,69,7
2696,Talk to Me,13-Jul-07,118,69,8
2697,Nuclear Nation,11-Dec-13,145,69,0
2698,Even the Rain (Tambien la Lluvia),11-Feb-11,103,69,8.4
2699,William Eggleston in the Real World,31-Aug-05,87,69,7
2700,Steal a Pencil for Me,9-Nov-07,94,69,0
2701,The Seven Five,7-May-15,104,69,0
2702,Out in the Dark,27-Sep-13,96,69,8.3
2703,The Elephant in the Living Room,8-Apr-11,96,69,6.5
2704,Collateral Damages,3-Mar-04,67,69,0
2705,Zero Day,3-Aug-03,92,69,7.5
2706,Friday Night,30-Jun-03,90,69,0
2707,Space Station 3D,19-Apr-02,47,69,8.7
2708,The Little Prince,5-Aug-16,108,69,7
2709,Ginger & Rosa,15-Mar-13,90,69,7.5
2710,Live Flesh,16-Jan-98,103,69,6.7
2711,Slacker,5-Jul-91,100,69,8.5
2712,The Armor of Light,30-Oct-15,88,69,0
2713,The Fault in Our Stars,6-Jun-14,126,69,7.3
2714,Welcome to Me,1-May-15,87,69,6.8
2715,21 Jump Street,16-Mar-12,109,69,8
2716,A Gay Girl in Damascus: The Amina Profile,24-Jul-15,84,69,0
2717,Redbelt,2-May-08,99,69,6.8
2718,Vodka Lemon,8-Oct-04,90,69,0
2719,Fair Game,5-Nov-10,108,69,6.9
2720,"Good Morning, Night",11-Nov-05,106,69,7.3
2721,World's Greatest Dad,21-Aug-09,99,69,7.4
2722,Romantics Anonymous,25-Nov-11,80,69,7.8
2723,The Drop,12-Sep-14,106,69,7.6
2724,The Company Men,21-Jan-11,109,69,6.5
2725,Chicago 10,29-Feb-08,110,69,6.8
2726,Wilbur Wants to Kill Himself,12-Mar-04,109,69,8.1
2727,Kill Bill: Vol. 1,10-Oct-03,111,69,8.1
2728,The Wild Thornberrys Movie,20-Dec-02,85,69,7
2729,Goyangileul butaghae,18-Oct-02,112,69,7
2730,Divided We Fall,8-Jun-01,117,69,7.6
2731,3 Backyards,11-Mar-11,88,69,6.7
2732,The Monster,11-Nov-16,91,69,5.9
2733,Scott Pilgrim vs. the World,13-Aug-10,112,69,8.3
2734,Fear(s) of the Dark,22-Oct-08,85,69,7.4
2735,The Go-Getter,6-Jun-08,93,69,7.6
2736,Operation Filmmaker,4-Jun-08,92,69,0
2737,Above and Beyond,30-Jan-15,90,69,8
2738,Eva Hesse,27-Apr-16,105,69,0
2739,Crazy Love,1-Jun-07,92,69,6.9
2740,Man Up,13-Nov-15,88,69,7.2
2741,The Exploding Girl,12-Mar-10,0,69,6.7
2742,Starter for 10,23-Feb-07,92,69,7.6
2743,"The Good, the Bad, the Weird",23-Apr-10,130,69,7.6
2744,Kurt Cobain About a Son,3-Oct-07,96,69,7.5
2745,Monsieur Ibrahim,5-Dec-03,95,69,8.3
2746,Stoked: The Rise and Fall of Gator,22-Aug-03,82,69,7.9
2747,The Cuckoo,11-Jul-03,99,69,8.3
2748,Changing Lanes,12-Apr-02,98,69,8.9
2749,Intimacy,19-Oct-01,119,69,7.8
2750,Audition,8-Aug-01,115,69,8.6
2751,Adorenarin doraibu,5-May-00,112,69,0
2752,Hitler's Children,16-Nov-12,59,69,0
2753,Ong Bak,11-Feb-05,105,69,8.8
2754,Do Not Resist,30-Sep-16,72,69,0
2755,We Live in Public,28-Aug-09,0,69,7.1
2756,Sightseers,10-May-13,88,69,6.8
2757,Uncertain Terms,29-May-15,75,68,0
2758,The Milk of Sorrow,27-Aug-10,94,68,6.7
2759,Infamous,13-Oct-06,110,68,8.2
2760,Star Trek Beyond,22-Jul-16,122,68,6.8
2761,A Sinner in Mecca,4-Sep-15,79,68,0
2762,Primo Levi's Journey,17-Aug-07,92,68,0
2763,North Country,14-Oct-05,126,68,7.4
2764,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),10-Sep-10,116,68,0
2765,Bullhead,17-Feb-12,124,68,7.3
2766,The Business of Being Born,9-Jan-08,87,68,6.8
2767,Peggy Guggenheim: Art Addict,6-Nov-15,96,68,8.8
2768,Terms and Conditions May Apply,12-Jul-13,79,68,8.3
2769,"My Love, Don't Cross That River",17-Jun-16,86,68,0
2770,Equity,29-Jul-16,100,68,6.4
2771,Art and Craft,19-Sep-14,89,68,8.4
2772,The Hunger Games,23-Mar-12,142,68,7
2773,The Yes Men,24-Sep-04,83,68,8.3
2774,In My Skin,7-Nov-03,93,68,0
2775,A Housekeeper,11-Jul-03,91,68,0
2776,Così ridevano,21-Nov-01,124,68,0
2777,Jump Tomorrow,6-Jul-01,97,68,8.2
2778,Chain Camera,22-Jun-01,90,68,8
2779,The War Zone,10-Dec-99,98,68,8.7
2780,eXistenZ,23-Apr-99,97,68,3
2781,Buffalo '66,26-Jun-98,110,68,8.8
2782,Liar Liar,21-Mar-97,86,68,8.8
2783,Requiem for a Dream,6-Oct-00,102,68,8.8
2784,Step Up To The Plate,14-Sep-12,86,68,0
2785,Valentino: The Last Emperor,18-Mar-09,96,68,7.7
2786,A Somewhat Gentle Man,14-Jan-11,105,68,8.8
2787,Bhutto,3-Dec-10,111,68,7.5
2788,Casino Jack and the United States of Money,7-May-10,118,68,8.3
2789,"Moscow, Belgium",19-Dec-08,102,68,0
2790,Applause,21-Jan-11,85,68,7.1
2791,August Evening,5-Sep-08,128,68,0
2792,Smash His Camera,30-Jul-10,87,68,7.5
2793,Doubt,12-Dec-08,104,68,7.8
2794,Addiction Incorporated,14-Dec-11,102,68,0
2795,Pierrepoint,1-Jun-07,90,68,0
2796,Braveheart,24-May-95,177,68,8.6
2797,"Crazy, Stupid, Love",29-Jul-11,118,68,7.4
2798,Deepwater Horizon,30-Sep-16,107,68,7.5
2799,End of Watch,21-Sep-12,109,68,7.8
2800,Apocalypto,8-Dec-06,139,68,7.5
2801,Dirty Rotten Scoundrels,14-Dec-88,110,68,8.6
2802,Potiche,25-Mar-11,103,68,6.3
2803,Girls Can't Swim,19-Apr-02,102,68,0
2804,Burnt Money,19-Oct-01,125,68,8.1
2805,Alice et Martin,21-Jul-00,120,68,6.5
2806,Twister,10-May-96,113,68,7.1
2807,The Adventures of Tintin,21-Dec-11,107,68,7.8
2808,The Meddler,22-Apr-16,100,68,7.3
2809,The Conjuring,19-Jul-13,112,68,8.2
2810,Becket (re-release),26-Jan-07,148,68,7.7
2811,Bopha!,24-Sep-93,120,68,0
2812,The World's Fastest Indian,7-Dec-05,127,68,8.4
2813,The Kindergarten Teacher,31-Jul-15,119,68,0
2814,A Place at the Table,1-Mar-13,84,68,0
2815,I Am the Pretty Thing That Lives in the House,28-Oct-16,87,68,5.8
2816,The Birth of a Nation,7-Oct-16,120,68,5.3
2817,They Call It Myanmar: Lifting the Curtain,21-Sep-12,84,68,0
2818,$9.99 ,19-Jun-09,78,68,6.8
2819,Sembene!,6-Nov-15,82,68,0
2820,Here,13-Apr-12,126,68,0
2821,Paul Goodman Changed My Life,19-Oct-11,89,68,0
2822,The Homesman,14-Nov-14,122,68,6.6
2823,Henry Fool,19-Jun-98,137,68,0
2824,Personal Shopper,10-Mar-17,105,68,0
2825,We Need to Talk About Kevin,9-Dec-11,110,68,7.3
2826,Watermark,4-Apr-14,92,68,6.5
2827,Leonard Cohen: I'm Your Man,21-Jun-06,105,68,6.9
2828,The East,31-May-13,116,68,7.8
2829,Monster House,21-Jul-06,91,68,8.5
2830,Black Mass,18-Sep-15,122,68,7.6
2831,The Wave,4-Mar-16,105,68,6.5
2832,The Hateful Eight,25-Dec-15,0,68,7.4
2833,"If You Don't, I Will",17-Dec-14,102,68,0
2834,Fire in the Blood,6-Sep-13,87,68,0
2835,The Edukators,22-Jul-05,127,68,7.5
2836,Hearts and Minds (re-release),22-Oct-04,112,68,6.6
2837,Noi the Albino,17-Mar-04,93,68,7.7
2838,Goodbye Lenin!,27-Feb-04,121,68,8.8
2839,Valley of Tears,28-Nov-03,82,68,0
2840,Babí léto,22-Aug-03,95,68,7.4
2841,Shaolin Soccer,15-Aug-03,87,68,8.8
2842,Family Fundamentals,11-Oct-02,75,68,0
2843,Mule Skinner Blues,12-Apr-02,93,68,0
2844,Born Romantic,28-Sep-01,96,68,7.2
2845,Dark Night,TBA,85,68,0
2846,The Illusionist,18-Aug-06,110,68,8.8
2847,Una Noche,23-Aug-13,90,68,0
2848,Queen and Country,18-Feb-15,115,68,0
2849,Charlotte's Web,15-Dec-06,97,68,6.9
2850,The End of the Line,19-Jun-09,85,68,7.5
2851,The Girl in the Book,11-Dec-15,86,68,7.5
2852,For Your Consideration,17-Nov-06,86,68,6
2853,Hustle & Flow,22-Jul-05,116,68,8.8
2854,"The Adventures of Priscilla, Queen of the Desert",10-Aug-94,104,68,7.8
2855,Compliance,17-Aug-12,90,68,6.4
2856,A United Kingdom,17-Feb-17,111,68,0
2857,Why Don't You Play in Hell?,7-Nov-14,129,68,7.9
2858,Bon voyage,19-Mar-04,114,68,7.5
2859,Miracle,6-Feb-04,135,68,8.2
2860,Heaven,4-Oct-02,97,68,7.3
2861,The Bourne Identity,14-Jun-02,119,68,7.5
2862,Bread and Tulips,27-Jul-01,114,68,7.8
2863,Winter Sleepers,22-Mar-00,122,68,7
2864,The School of Flesh,26-Feb-99,110,68,0
2865,Little Voice,4-Dec-98,97,68,8.8
2866,Meet the Fokkens,10-Aug-12,80,68,0
2867,Last Ride,29-Jun-12,90,68,0
2868,Popstar: Never Stop Never Stopping,3-Jun-16,87,68,7.4
2869,Take This Waltz,29-Jun-12,116,68,6.5
2870,Bears,18-Apr-14,78,68,7.3
2871,Off the Map,11-Mar-05,105,68,8.3
2872,Clueless,19-Jul-95,97,68,8.6
2873,Heartbeat Detector,14-Mar-08,143,68,0
2874,Land Ho!,11-Jul-14,95,68,6
2875,Imperium,19-Aug-16,109,68,7.5
2876,To Die Like a Man,8-Apr-11,133,68,0
2877,Europa Report,2-Aug-13,90,68,6.9
2878,Romántico,1-Nov-06,80,68,7.1
2879,How to Make Money Selling Drugs,26-Jun-13,96,68,8.8
2880,The Last Mogul,24-Jun-05,110,68,0
2881,Fort Bliss,19-Sep-14,116,68,7.4
2882,The Secret Life of Words,15-Dec-06,115,68,8.1
2883,Soul Food,26-Sep-97,115,68,0
2884,Other People,9-Sep-16,97,68,0
2885,Vision: From the Life of Hildegard Von Bingen,13-Oct-10,110,68,0
2886,Shanghai Ghetto,27-Sep-02,95,68,0
2887,Girl Model,7-Sep-12,78,68,0
2888,John Wick,24-Oct-14,101,68,8.2
2889,"The Way, Way Back",5-Jul-13,103,68,7.9
2890,Chef,9-May-14,114,68,7.8
2891,Client 9: The Rise and Fall of Eliot Spitzer,5-Nov-10,117,68,7
2892,Detropia,7-Sep-12,90,68,8
2893,Why We Fight,20-Jan-06,98,68,7.6
2894,The Lesson,4-Mar-15,105,68,0
2895,Anita,21-Mar-14,95,68,6.5
2896,Tales from the Golden Age,26-Aug-11,155,68,0
2897,Women Without Men,9-Apr-10,95,68,0
2898,Down Terrace,15-Oct-10,89,68,6.6
2899,Journey to the West,7-Mar-14,110,68,6.9
2900,My King,12-Aug-16,124,68,0
2901,Stations of the Cross,10-Jul-15,110,68,0
2902,The Harvest,10-Apr-15,104,68,6.6
2903,Rise of the Planet of the Apes,5-Aug-11,110,68,7.8
2904,With God on Our Side: George W. Bush and the Rise of the Religious Right in America,19-Jan-05,100,68,0
2905,Son of the Bride,22-Mar-02,123,68,8.1
2906,Theeviravaathi: The Terrorist,25-Feb-00,95,68,0
2907,Shall We Dance?,11-Apr-97,136,68,7.7
2908,The Black Balloon,5-Dec-08,97,68,7.8
2909,The Untamed,TBA,100,68,0
2910,Timecrimes,12-Dec-08,92,68,6.8
2911,Friends with Money,7-Apr-06,88,68,5.6
2912,Divines,18-Nov-16,105,68,0
2913,Bethlehem,7-Mar-14,99,68,7.5
2914,Mad Detective,18-Jul-08,0,68,6.8
2915,Hair,14-Mar-79,121,68,7.6
2916,Red Obsession,6-Sep-13,75,68,0
2917,X2: X-Men United,2-May-03,133,68,8.8
2918,Iraq for Sale: The War Profiteers,8-Sep-06,75,68,7.2
2919,Delirious,15-Aug-07,107,68,7.3
2920,Big River Man,4-Dec-09,100,68,0
2921,Paranormal Activity,25-Sep-09,86,68,5.8
2922,Theater of War,24-Dec-08,95,68,0
2923,Afterglow,26-Dec-97,119,68,0
2924,Kisses,16-Jul-10,72,68,8
2925,Swimming to Cambodia,13-Mar-87,85,68,0
2926,Honeydripper,28-Dec-07,124,68,7
2927,The Double,9-May-14,93,68,6.2
2928,"Kumiko, The Treasure Hunter",18-Mar-15,105,68,6.9
2929,Shin Godzilla (Godzilla Resurgence),11-Oct-16,120,68,7.8
2930,The Childhood of a Leader,22-Jul-16,115,68,6.3
2931,Memories of Tomorrow,18-May-07,122,68,7.9
2932,The Beauty Academy of Kabul,24-Mar-06,74,68,0
2933,Etoiles: Dancers of the Paris Opera Ballet,8-Nov-02,100,68,0
2934,I Remember Me,9-Nov-01,74,68,0
2935,Erleuchtung garantiert,8-Jun-01,109,68,8.3
2936,Eyes Wide Shut,16-Jul-99,159,68,5.9
2937,The Place Beyond the Pines,29-Mar-13,140,68,8.6
2938,Batman Returns,19-Jun-92,126,68,7.9
2939,Purple Butterfly,26-Nov-04,127,68,7.4
2940,Page One: A Year Inside the New York Times,17-Jun-11,88,68,6.8
2941,The Cool School,28-Mar-08,86,68,0
2942,Paris,18-Sep-09,130,68,6.8
2943,Star Wars: Episode III - Revenge of the Sith,19-May-05,140,68,7.4
2944,Fratricide,23-Aug-06,0,68,0
2945,The Assassination of Jesse James by the Coward Robert Ford,21-Sep-07,160,68,7.9
2946,Fracture,20-Apr-07,113,68,8.8
2947,Departures,29-May-09,130,68,7.8
2948,Una,TBA,94,68,0
2949,Inequality for All,27-Sep-13,89,68,8.4
2950,One Life,21-Feb-13,85,68,7.5
2951,El Crimen Perfecto (The Perfect Crime),19-Aug-05,105,68,8.3
2952,No No: A Dockumentary,5-Sep-14,100,68,0
2953,The Valet,20-Apr-07,85,68,7.3
2954,People Places Things,14-Aug-15,85,68,8
2955,12 O'Clock Boys,31-Jan-14,76,68,4.6
2956,The New Black,1-Nov-13,80,68,0
2957,Protagonist,30-Nov-07,90,68,0
