,names,release,runtime,scores,user_score
121,House of Flying Daggers,3-Dec-04,119,89,8.8
122,Man on Wire,25-Jul-08,94,89,8.4
123,Howards End,13-Mar-92,140,89,8.4
124,Still Walking,21-Aug-09,114,89,8.5
125,Gangs of Wasseypur,16-Jan-15,0,89,8.5
126,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,3-Nov-06,84,89,7.2
127,The Tale of The Princess Kaguya,17-Oct-14,137,89,8.6
128,Son of Saul,18-Dec-15,107,89,7.5
129,"Two Days, One Night",24-Dec-14,95,89,8.6
130,National Gallery,5-Nov-14,180,89,0
131,No End in Sight,27-Jul-07,102,89,8.2
132,Elle,11-Nov-16,130,89,8
133,Phoenix,24-Jul-15,98,89,7.6
134,Goodbye Solo,27-Mar-09,91,89,7.4
135,Western,25-Sep-15,92,89,7.7
136,Stop Making Sense,18-Oct-84,88,89,8.4
137,Selma,25-Dec-14,128,89,7.2
138,The Artist,23-Nov-11,100,89,8.2
139,Eternal Sunshine of the Spotless Mind,19-Mar-04,108,89,8.9
140,The Piano,1-Nov-93,121,89,7.8
141,Goodfellas,1-Sep-90,146,89,9
142,Blade Runner,11-Jul-92,117,89,8.9
143,Letters from Iwo Jima,20-Dec-06,141,89,8.3
144,Once,16-May-07,85,88,8.2
145,The Arbor,27-Apr-11,94,88,7.6
146,Democrats,18-Nov-15,100,88,0
147,Ghost World,20-Jul-01,111,88,8.3
148,Brazil,18-Dec-85,132,88,8.9
149,Y Tu Mamá También,15-Mar-02,106,88,6.6
150,Capote,30-Sep-05,114,88,7.8
151,Tulpan,1-Apr-09,100,88,6.5
152,Manuscripts Don't Burn,13-Jun-14,125,88,6
153,Whiplash,10-Oct-14,107,88,8.9
154,A Film Unfinished,18-Aug-10,88,88,7
155,The Grand Budapest Hotel,7-Mar-14,100,88,8.4
156,Winter Sleep,19-Dec-14,196,88,8.4
157,Blue Is the Warmest Color,25-Oct-13,179,88,7.9
158,Citizenfour,24-Oct-14,114,88,7.6
159,On the Waterfront (re-release),5-Nov-04,108,88,8.7
160,Time Out,29-Mar-02,134,88,6.9
161,The Blue Angel (re-release),13-Jul-01,124,88,7.8
162,Thelma & Louise,24-May-91,130,88,8.2
163,Away from Her,4-May-07,110,88,8
164,The Fallen Idol (re-release),10-Feb-06,95,88,7.3
165,Network,14-Nov-76,121,88,0
166,Inside Job,8-Oct-10,120,88,8.4
167,The Lord of the Rings: The Two Towers,18-Dec-02,179,88,8.9
168,Three Colors: White,10-Jun-94,91,88,0
169,Hell or High Water,12-Aug-16,102,88,8.4
170,Chicken Run,21-Jun-00,84,88,8.2
171,The King's Speech,26-Nov-10,118,88,8.3
172,Up,29-May-09,96,88,8.8
173,Poetry,11-Feb-11,139,88,7.9
174,The Fugitive,6-Aug-93,130,88,8.9
175,Quiz Show,14-Sep-94,133,88,8.8
176,45365,18-Jun-10,90,88,8
177,Anomalisa,30-Dec-15,90,88,7.5
178,Toy Story 2,24-Nov-99,92,88,8.8
179,Birdman or (The Unexpected Virtue of Ignorance),17-Oct-14,119,88,8.1
180,Nobody Knows,4-Feb-05,141,88,8.5
181,Life Is Sweet,25-Oct-91,103,88,7.8
182,L'Enfant (The Child),24-Mar-06,100,87,8.8
183,Newtown,7-Oct-16,85,87,0
184,Little Women,21-Dec-94,115,87,8
185,Shakespeare in Love,11-Dec-98,123,87,7.4
186,The Missing Picture,4-Oct-13,92,87,7.6
187,"I Travel Because I Have to, I Come Back Because I Love You",25-Mar-11,75,87,7.2
188,Aquarius,14-Oct-16,142,87,8.3
189,Of Men and War,6-Nov-15,142,87,0
190,Gomorrah,13-Feb-09,137,87,6.9
191,To Be and to Have,19-Sep-03,104,87,8.1
192,Krisha,18-Mar-16,83,87,8.1
193,Brooklyn,4-Nov-15,111,87,8
194,Things to Come,2-Dec-16,102,87,0
195,Superman II,19-Jun-81,127,87,6.5
196,About Elly (2009),8-Apr-15,119,87,8.8
197,One False Move,8-May-92,105,87,0
198,We Are the Best!,30-May-14,102,87,7.6
199,Wallace & Gromit: The Curse of the Were-Rabbit,5-Oct-05,85,87,8.3
200,The Diary of a Teenage Girl,7-Aug-15,102,87,6.6
201,Elena,18-May-12,109,87,7.2
202,All Is Lost,18-Oct-13,106,87,6.5
203,Listen to Me Marlon,29-Jul-15,103,87,8.4
204,Gideon's Army,28-Jun-13,0,87,8.4
205,Neruda,16-Dec-16,107,87,0
206,Paterson,28-Dec-16,118,87,0
207,Serpico (re-release),6-Aug-04,130,87,8.8
208,Maria Full of Grace,16-Jul-04,101,87,3.4
209,Fateless,6-Jan-06,140,87,7.8
210,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,19-Dec-03,95,87,8.5
211,Tootsie,17-Dec-82,116,87,8.1
212,Uncle Boonmee Who Can Recall His Past Lives,4-Mar-11,114,87,7.4
213,Brokeback Mountain,9-Dec-05,134,87,8.2
214,Cemetery of Splendor,4-Mar-16,122,87,6.8
215,The Kid with a Bike,16-Mar-12,87,87,7.4
216,Harry Potter and the Deathly Hallows: Part 2,15-Jul-11,130,87,8.1
217,Particle Fever,5-Mar-14,99,87,8.1
218,Tarnation,6-Oct-04,88,87,7.4
219,Murderball,8-Jul-05,88,87,8.4
220,Life Itself,4-Jul-14,120,87,8.7
221,Fire at Sea,21-Oct-16,114,87,0
222,Shine,20-Nov-96,105,87,8.7
223,Grizzly Man,12-Aug-05,103,87,7.2
224,Gregory Crewdson: Brief Encounters,2-Nov-12,78,87,6.4
225,Moneyball,23-Sep-11,133,87,8
226,The Autobiography of Nicolae Ceausescu,9-Sep-11,180,87,0
227,All About My Mother,19-Nov-99,101,87,8.6
228,The English Patient,15-Nov-96,162,87,7.3
229,The Duke of Burgundy,23-Jan-15,104,87,6.9
230,My Golden Days,18-Mar-16,123,87,7.3
231,Love & Friendship,13-May-16,92,87,6.9
232,Aliens,18-Jul-86,137,87,9
233,Force Majeure,24-Oct-14,120,87,7.6
234,Marooned in Iraq,25-Apr-03,0,86,7.7
235,Russian Ark,29-Nov-02,99,86,7.4
236,Lincoln,9-Nov-12,150,86,7.5
237,Room,16-Oct-15,118,86,8.4
238,The Tillman Story,20-Aug-10,94,86,7.3
239,The Wind Will Carry Us,28-Jul-00,118,86,7.6
240,"sex, lies, and videotape",4-Aug-89,100,86,7.8
241,Jaws,20-Jun-75,124,86,8.7
242,Nebraska,15-Nov-13,115,86,8.1
243,Slumdog Millionaire,12-Nov-08,120,86,7.8
244,Stand Clear of the Closing Doors,23-May-14,102,86,7
245,Dreamcatcher,20-Mar-15,98,86,6.3
246,To Die For,27-Sep-95,106,86,8.9
247,Cameraperson,9-Sep-16,102,86,0
248,Million Dollar Baby,15-Dec-04,132,86,7.5
249,42: Forty Two Up,17-Nov-99,139,86,8.6
250,The Straight Story,15-Oct-99,112,86,8.4
251,Rushmore,11-Dec-98,93,86,8.8
252,Say Anything...,4-Apr-89,100,86,8.7
253,The Babadook,28-Nov-14,93,86,8.4
254,Last Days in Vietnam,5-Sep-14,98,86,8.1
255,Little Men,5-Aug-16,85,86,8.3
256,The Kids Are All Right,9-Jul-10,106,86,7.3
257,Boys Don't Cry,8-Oct-99,118,86,7.5
258,Dead Ringers,23-Sep-88,116,86,5.1
259,Manakamana,18-Apr-14,118,86,5.4
260,Cave of Forgotten Dreams,29-Apr-11,89,86,6.9
261,King of the Hill,20-Aug-93,103,86,0
262,How to Survive a Plague,21-Sep-12,120,86,8.1
263,Easy Rider,14-Jul-69,95,86,7.4
264,Ten,5-Mar-03,94,86,8.5
